Hm;km;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;type;date;endtime;starttime;rider_weight;rider_height;ride_type
424,6;42,78446;518;51,7284;273;48,78275022;48,70776756;9,645298384;9,514830289;26,33419146;Rennrad;12.05.2020;14:35:41;12:55:10;73;183;Training
1720,2;62,1243;2403;54,45;752,6;47,28741626;47,11647565;12,83434214;12,78398241;23,01955263;Rennrad;04.06.2017;10:49:31;06:19:40;73;183;Training
365,6;31,94323;368,2;52,2324;244,8;48,71718739;48,65964227;9,524680199;9,37642755;20,99466313;Rennrad;02.12.2018;13:42:42;12:04:56;75;183;Training
537,6;28,60439;480;58,0104;273,4;48,76629696;48,71547899;9,561157404;9,490716644;26,82241937;Rennrad;06.09.2018;14:14:05;12:58:04;70;183;Training
467,6;30,06829;443,2;49,2444;224,2;48,76630886;48,71541739;9,561101664;9,49063601;25,60258206;Rennrad;29.01.2017;14:48:17;13:33:38;76;183;Training
648,8;41,33558;514,6;51,2604;293,6;48,76649662;48,68561771;9,61750282;9,490556717;24,40074986;Rennrad;05.01.2020;16:05:16;14:16:11;76;183;Training
584,8;30,71422;489,8;57,474;236,6;48,80340323;48,71703635;9,528350467;9,46038153;28,4484954;Rennrad;10.11.2018;15:57:16;14:43:02;75;183;Training
911,2;52,71226;488,2;51,426;245;48,80683855;48,71544496;9,561124379;9,460503487;24,56714144;Rennrad;27.05.2017;19:37:54;17:13:04;73;183;Training
551;37,90734;502,2;56,7;255,2;48,80458742;48,70850785;9,608496716;9,49052277;26,49203548;Rennrad;24.04.2019;17:32:46;15:50:18;75;183;Training
669,8;47,65028;505,2;50,454;254,2;48,79934002;48,70362975;9,561139969;9,379709568;25,69358175;Rennrad;02.04.2018;13:46:17;11:48:15;74;183;Training
1256,6;74,58274;795,6;56,0628;273,6;48,71904365;48,54607629;9,621120784;9,497024696;26,02380704;Rennrad;12.07.2020;13:56:30;10:37:38;73;183;Training
466,8;42,98578;398,4;56,5992;254,4;48,72549151;48,63939872;9,629443092;9,514868846;26,96767757;Rennrad;24.04.2020;15:16:58;13:38:17;74;183;Training
284,6;24,40178;485;61,5384;278;48,76656233;48,7154639;9,561137538;9,49057918;29,12323951;Rennrad;04.08.2018;09:05:41;08:10:26;73;183;Training
2072,6;59,96428;2261,8;47,5308;1533,8;46,55373302;46,48160809;11,88756108;11,75682644;19,17953332;Rennrad;18.07.2016;15:08:09;10:21:21;73;183;Training
847,4;55,92074;535,6;59,8932;258,6;48,81283656;48,70266826;9,60848473;9,389318079;26,66263937;Rennrad;01.11.2019;12:42:59;10:18:51;74;183;Training
627,8;27,12433;482,6;51,3252;225,6;48,79746943;48,71548159;9,532083683;9,460423691;24,28510075;Rennrad;21.12.2019;15:07:01;13:46:03;75;183;Training
762,4;61,1176;472,4;52,7724;253,6;48,77385241;48,6314391;9,62521526;9,476639237;25,30767704;Rennrad;27.06.2020;16:31:01;13:56:05;73;183;Training
1661;101,16144;485,6;53,7444;198,6;48,82231775;48,70890163;9,588935366;9,268317595;23,72260469;Rennrad;28.04.2019;11:44:08;07:00:43;74;183;Training
556,2;32,50797;488,2;53,6112;281,4;48,7663268;48,71549852;9,560297923;9,490630394;25,02900855;Rennrad;09.07.2016;18:56:00;17:35:58;73;183;Training
905,8;56,60322;664,6;55,1232;282,6;48,71720642;48,6001606;9,657768393;9,49763733;27,14437405;Rennrad;20.10.2019;15:39:36;13:19:38;74;183;Training
417;25,03675;519;48,6396;308,4;48,76651665;48,71702386;9,561190763;9,490579851;25,6722527;Rennrad;22.03.2020;14:06:25;13:01:45;75;183;Training
4866,4;250,83848;820;61,7724;298,2;48,87835077;48,5448418;9,99063137;9,606780102;27,2402766;Rennrad;25.06.2017;18:17:51;05:31:11;73;183;Race
553,8;39,32151;530;49,6476;261,6;48,81367844;48,71704834;9,561899705;9,460495356;24,95760646;Rennrad;14.03.2020;14:34:05;12:50:21;75;183;Training
672;41,89438;509,6;55,2888;259,4;48,79749164;48,70273506;9,58442213;9,460421847;26,90503666;Rennrad;21.09.2019;14:20:41;12:34:40;73;183;Training
587,6;48,33802;525,2;57,204;292,4;48,78278534;48,7077725;9,645313472;9,506503707;26,43340339;Rennrad;28.05.2020;15:51:32;13:54:42;73;183;Training
1918,8;130,60158;814;57,3048;265,8;48,75590064;48,54323859;9,924129518;9,512987947;27,21935666;Rennrad;25.05.2017;12:36:56;06:55:55;73;183;Training
244,8;34,9582;311,2;38,9304;223;48,79833369;48,70367107;9,517240003;9,169917824;23,23303408;Rennrad;28.07.2017;19:55:32;18:25:45;73;183;Training
214,2;14,30438;382,4;39,9744;278,4;48,71902462;48,69469866;9,538108092;9,472961677;20,829825;Rennrad;21.04.2020;09:23:26;08:38:57;74;183;Training
490;40,86532;399,8;50,3856;267;48,71905035;48,62002487;9,567354061;9,504347881;26,30837563;Rennrad;28.05.2017;09:15:23;07:35:15;73;183;Training
787,4;46,38954;489;58,6152;237;48,8044876;48,70849092;9,608462267;9,460384967;26,39294676;Rennrad;31.08.2019;14:39:29;12:35:27;73;183;Training
1123,4;102,59554;485;53,9784;263,8;48,76648514;48,55448459;9,566920549;9,326934842;26,43108542;Rennrad;30.07.2017;11:21:28;07:15:46;73;183;Training
416,2;19,4229;524;40,0068;311,6;48,75842669;48,713927;9,524300247;9,480492733;19,25292747;Rennrad;13.05.2020;12:43:55;11:35:38;73;183;Training
582,4;40,0281;496,4;57,8772;257,6;48,79159413;48,71550137;9,560282668;9,404851506;27,42747297;Rennrad;27.01.2018;16:23:03;14:48:13;75;183;Training
329,6;25,30782;405,6;44,9424;280,2;48,72041945;48,68198927;9,584304113;9,465970667;20,22682768;Rennrad;09.12.2018;11:00:32;09:43:10;75;183;Training
843,6;91,06932;111,6;53,4096;-13,8;54,26281756;54,017882;10,7889017;10,66433597;25,55002948;Rennrad;09.05.2019;15:02:56;09:47:26;74;183;Training
730,2;48,33104;493,8;52,434;247,8;48,80345712;48,71548126;9,561115159;9,460388822;25,50019237;Rennrad;10.07.2016;14:00:02;12:02:17;73;183;Training
813,2;61,18051;495,8;54,0468;261,8;48,76648639;48,6383488;9,651860995;9,463395663;25,59115294;Rennrad;04.04.2020;15:54:33;13:22:23;75;183;Training
296,6;24,47885;497,8;52,3332;276,2;48,76648095;48,71545351;9,561145669;9,49067398;26,50142479;Rennrad;23.10.2016;12:14:13;11:17:37;74;183;Training
431,8;20,05825;501,6;48,7404;266,8;48,76652034;48,70841489;9,519581906;9,463538406;22,86125379;Rennrad;09.02.2020;14:50:55;13:51:01;75;183;Training
177,8;12,35334;326,8;34,4988;259,6;48,71733651;48,69982889;9,517299766;9,46593496;18,18480779;Rennrad;24.11.2019;15:06:32;14:25:41;75;183;Training
2340,2;113,57798;1866,2;52,3332;176,6;44,18111295;44,03489057;5,41303684;5,101788361;23,99881928;Rennrad;18.06.2019;13:15:43;07:23:43;73;183;Training
2021,6;134,23974;720,8;61,0344;257;48,81002937;48,66916076;10,16359798;9,601577204;26,45184753;Rennrad;30.04.2017;15:23:47;08:17:52;74;183;Training
777,4;37,34193;495,4;53,2404;242,4;48,79746599;48,71694566;9,561059838;9,46044473;26,4945189;Rennrad;15.09.2017;14:12:12;12:35:53;73;183;Training
100,8;3,81449;310,4;32,886;235,2;48,7171578;48,70846007;9,517301191;9,473674642;21,28970583;Rennrad;03.11.2016;08:06:43;07:56:27;75;183;Training
727,6;50,7256;505,2;55,4904;279,8;48,76646862;48,65404685;9,561231583;9,457391286;26,69599958;Rennrad;21.05.2018;09:50:11;07:48:41;73;183;Training
1989,4;100,49256;815,8;60,7644;400,8;48,64336847;48,52359217;9,746123962;9,431766467;26,50032445;Rennrad;28.06.2020;15:49:08;09:42:20;73;183;Training
385,2;33,27967;392,4;44,2044;268,6;48,72039129;48,66606968;9,625167148;9,514853423;25,1056566;Rennrad;02.05.2020;14:35:58;13:13:00;74;183;Training
310,4;24,48496;503,4;64,4256;297,4;48,76650115;48,71543658;9,561156649;9,490680266;30,90146777;Rennrad;08.07.2018;18:49:26;17:58:17;73;183;Training
66,2;5,70298;292,2;38,16;249,6;48,71895597;48,71427124;9,538012454;9,51475326;20,35167014;Rennrad;17.08.2019;09:28:11;09:03:32;73;183;Training
426,2;27,49822;485,8;48,0024;256,8;48,76622119;48,70842386;9,561085654;9,463502532;23,92016201;Rennrad;24.02.2018;16:48:50;15:36:13;74;183;Training
717,4;42,39907;463,4;48,8412;165,2;48,79925243;48,70363008;9,520412553;9,379840996;25,30317731;Rennrad;03.02.2018;14:29:02;12:41:58;74;183;Training
885,2;50,15187;549;50,9904;292,4;48,80686973;48,71703057;9,52849891;9,404820409;26,7130595;Rennrad;21.10.2018;13:49:58;11:43:37;75;183;Training
1088,6;63,1153;1581,8;62,5464;994,2;47,13635199;46,9634728;11,01221345;10,9228544;28,25387416;Rennrad;26.07.2018;13:11:38;09:31:59;73;183;Training
